Name,Callsign
BBC One NW HD,BBC1NWHD
BBC Two HD,BBC2HD
ITV1 HD,ITV1GHD
Channel 4 HD,C4HD
5 HD,CH5HD
U&Dave,UDAVE
BBC Three HD,BBC3H
BBC Four HD,BBC4HD
ITV2 HD,ITV2HD
ITV3 HD,ITV3HD
ITV4 HD,ITV4HD
5STAR,5ST
Sky Arts,SKYART1
ITV Be HD,ITVBEHD
U&W,UANDW
S4C HD,S4CHDVM
E4 HD,E4HD
More4,MORE4
4seven,4SEVEN
E4 Extra,E4EXTRA
Food Network,FOODNET
5 USA,5USA
Really,REALLY
U&Drama,UDRAMA
Challenge,CHALL
TRUE CRIME,TRUCRUK
TRUE CRIME X,TCEXTRA
LEGEND,LEGENDVM
Quest Red,QREDUK
5ACTION,5ACTION
Sky Mix HD,SMIXIRH
5SELECT,5SELECT
U&Yesterday,UYESTSD
GREAT! tv,GREATUK
HGTV,HGTVUK
DMAX,DMAXD
BLAZE,BLAZUK
BBC ALBA HD,BBCALBH
Together,TOGETUK
That's TV,THATSTV
PBS America,PBSAMEF
Court TV,COURTUK
BBCScotlandHD,BBCSCOT
That's TV 2,THAT2VM
Rewind TV,REWINDUK
That's TV 3,THAT3VM
Film4,FILM4UK
LEGEND XTRA,LEGEXTR
GREAT! romance,GREATRO
GREAT! movies,GRETMOV
GREAT! action,GRTMACT
TalkingPictures,TALKPIC
Clubland TV,CLUBLVM
NOW 70s,NOW70UK
NOW 80s,NOW80UK
NOW 90s & 00s,NOW9000
NOW ROCK,NOWROCK
That's Oldies,THATMEM
That's Dance,THAT90S
That's Melody,THAT80S
Sky News,SKYNEWS
Bloomberg HD,BLOMUK
BBC NEWS HD,BBCNWHD
BBC Parl HD,BBCPAHD
CNBC HD,CNBCEHD
CNN HD,CNNEUHD
NHK World HD,NHKWLD
Euronews,EURNWSV
NDTV World,NDT247V
FRANCE 24 HD,FR24ARA
Al Jazeera HD,ALJAZEH
GB News HD,GBNEWS
TRT World HD,TRTWRLD
Channels 24,CHAN24UK
Arirang TV HD,ARANG
Arise News,ARISE
WION HD,WIONHDUK
TVC News,TVCNEWS
NTD,NEWTANG
GOD Channel,GODCH
revelation,REVEL
TBN UK,TBNUK
DAYSTAR HD,DAYSTHD
LoveWorld HD,LOVEWOR
EWTN Catholic,EWTNUK
Faith World TV,FATHWD
SonLife,SBND
Faith UK,FAITHUK
Dunamis TV,DUNAMIS
Islam Channel,ISLAM
QVC HD,QVCUKHD
TJC HD,TJCHD
QVC Beauty,QVCBEAU
Gems TV,GEMSTV
High Street TV 1,HIGHST
High Street TV 2,HIGHSTR2
High Street TV 3,HIGHSTR3
Best Direct,BESTDIR
JewelleryMaker,JEWELMK
TV Warehouse,TVWARE
QVC Style HD,QVCSTHD
QVC Extra,QVCEXUK
