Name,Callsign
4seven,4SEVEN
5 HD,CH5HD
5 USA,5USA
5ACTION,5ACTION
5SELECT,5SELECT
5STAR,5ST
Al Jazeera HD,ALJAZEH
Arirang TV HD,ARANG
Arise News,ARISE
BBC ALBA HD,BBCALBH
BBC Four HD,BBC4HD
BBC NEWS HD,BBCNWHD
BBC One NW HD,BBC1NWHD
BBC Parl HD,BBCPAHD
BBC Three HD,BBC3H
BBC Two HD,BBC2HD
BBCScotlandHD,BBCSCOT
Best Direct,BESTDIR
BLAZE,BLAZUK
Bloomberg HD,BLOMUK
Challenge,CHALL
Channel 4 HD,C4HD
Channels 24,CHAN24UK
Clubland TV,CLUBLVM
CNBC HD,CNBCEHD
CNN HD,CNNEUHD
Court TV,COURTUK
DAYSTAR HD,DAYSTHD
DMAX,DMAXD
Dunamis TV,DUNAMIS
E4 Extra,E4EXTRA
E4 HD,E4HD
Euronews,EURNWSV
EWTN Catholic,EWTNUK
Faith UK,FAITHUK
Faith World TV,FATHWD
Film4,FILM4UK
Food Network,FOODNET
FRANCE 24 HD,FR24ARA
GB News HD,GBNEWS
Gems TV,GEMSTV
GOD Channel,GODCH
Great! Action,GRTMACT
Great! Romance,GREATRO
Great! TV,GREATUK
HGTV,HGTVUK
High Street TV 1,HIGHST
High Street TV 2,HIGHSTR2
High Street TV 3,HIGHSTR3
Islam Channel,ISLAM
ITV Be HD,ITVBEHD
ITV1 HD,ITV1GHD
ITV2 HD,ITV2HD
ITV3 HD,ITV3HD
ITV4 HD,ITV4HD
ITV Quiz HD,ITVQZHD
JewelleryMaker,JEWELMK
LEGEND XTRA,LEGEXTR
LEGEND,LEGENDVM
LoveWorld HD,LOVEWOR
More4,MORE4
NDTV World,NDT247V
NHK World HD,NHKWLD
NOW 70s,NOW70UK
NOW 80s,NOW80UK
NOW 90s & 00s,NOW9000
NOW ROCK,NOWROCK
NTD,NEWTANG
PBS America,PBSAMEF
Quest HD,QUESTUKHD
Quest Red,QREDUK
QVC Beauty,QVCBEAU
QVC Extra,QVCEXUK
QVC HD,QVCUKHD
QVC Style HD,QVCSTHD
Really,REALLY
revelation,REVEL
Rewind TV,REWINDUK
S4C HD,S4CHDVM
Sky Arts,SKYART1
Sky Mix HD,SKYMIX
Sky News,SKYNEWS
SonLife,SBND
TalkingPictures,TALKPIC
TBN UK,TBNUK
That's Dance,THAT90S
That's Melody,THAT80S
That's Oldies,THATMEM
That's TV 2,THAT2VM
That's TV 3,THAT3VM
That's TV,THATSTV
TJC HD,TJCHD
Together,TOGETUK
TRT World HD,TRTWRLD
TRUE CRIME X,TCEXTRA
TRUE CRIME,TRUCRUK
TV Warehouse,TVWARE
TVC News,TVCNEWS
U&Dave,UDAVE
U&Drama,UDRAMA
U&Eden,EDEN
U&W,UANDW
U&Yesterday,UYESTSD
WION HD,WIONHDUK
